time,x,y,z,phi,theta,psi,u,v,w,p,q,r,Stern plane (deg) (command),Stern plane (deg) (actual),buoy_x,buoy_y,buoy_z,buoy_phi,buoy_theta,buoy_psi,dock_x,dock_y,dock_z,dock_phi,dock_theta,dock_psi
0.8,3.2879999824597057,0.0,49.9997997131456,0.0,0.0002726167338091053,0.0,4.11,0.0,-0.0003131961164380374,0.0,0.0014770556962539925,0.0,-0.01646408577445996,-0.0035261698822485767,411.0,0.0,0.0,0.0,0.0,0.0,411.0,0.0,10.0,0.0,0.0,0.0
0.8200000000000001,3.3701999775201097,0.0,49.99977038940256,0.0,0.00030474610971616925,0.0,4.11,0.0,-0.0003457324024269323,0.0,0.0016064687953531967,0.0,-0.017292603775369817,-0.003784928200092804,411.0,0.0,0.0,0.0,0.0,0.0,411.0,0.0,10.0,0.0,0.0,0.0
0.84,3.4523999713832,0.0,49.999737726558365,0.0,0.0003396014390839639,0.0,4.11,0.0,-0.0003806357361237538,0.0,0.0017427664683897306,0.0,-0.018140517830476696,-0.004055081711598345,411.0,0.0,0.0,0.0,0.0,0.0,411.0,0.0,10.0,0.0,0.0,0.0
0.86,3.5345999638040775,0.0,49.99970145124167,0.0,0.00037732235774588514,0.0,4.11,0.0,-0.0004180039710081287,0.0,0.0018860459330960633,0.0,-0.019007749888318704,-0.004336790433975912,411.0,0.0,0.0,0.0,0.0,0.0,411.0,0.0,10.0,0.0,0.0,0.0
0.88,3.6167999544967957,0.0,49.999661276635585,0.0,0.0004180502819884941,0.0,4.11,0.0,-0.00045793548336291054,0.0,0.0020363962121304467,0.0,-0.019894220848408882,-0.004630209623062768,411.0,0.0,0.0,0.0,0.0,0.0,411.0,0.0,10.0,0.0,0.0,0.0
0.9,3.6989999431289853,0.0,49.999616902322586,0.0,0.0004619282456565023,0.0,4.11,0.0,-0.0005005290846755329,0.0,0.0021938981834004113,0.0,-0.020799850562022493,-0.00493548984756969,411.0,0.0,0.0,0.0,0.0,0.0,411.0,0.0,10.0,0.0,0.0,0.0
0.92,3.781199929315978,0.0,49.999568014144586,0.0,0.0005091007385937573,0.0,4.11,0.0,-0.0005458839360679399,0.0,0.0023586246468627462,0.0,-0.02172455783370803,-0.0052527770618587466,411.0,0.0,0.0,0.0,0.0,0.0,411.0,0.0,10.0,0.0,0.0,0.0
0.9400000000000001,3.8633999126144043,0.0,49.999514284077925,0.0,0.0005597135467223286,0.0,4.11,0.0,-0.0005940994647989196,0.0,0.0025306404064285677,0.0,-0.02266826042349575,-0.005582212677295732,411.0,0.0,0.0,0.0,0.0,0.0,411.0,0.0,10.0,0.0,0.0,0.0
0.96,3.9455998925152413,0.0,49.99945537012315,0.0,0.0006139135940358267,0.0,4.11,0.0,-0.0006452752828755453,0.0,0.0027100023656749044,0.0,-0.023630875049802044,-0.0059239336322197324,411.0,0.0,0.0,0.0,0.0,0.0,411.0,0.0,10.0,0.0,0.0,0.0
0.98,4.02779986843628,0.0,49.99939091620937,0.0,0.0006718487867585083,0.0,4.11,0.0,-0.000699511107803766,0.0,0.0028967596361340817,0.0,-0.02461231739300293,-0.006278072460571379,411.0,0.0,0.0,0.0,0.0,0.0,411.0,0.0,10.0,0.0,0.0,0.0
1.0,4.1099998397139945,0.0,49.99932055211296,0.0,0.0007336678598984922,0.0,4.11,0.0,-0.0007569066855019484,0.0,0.003090953656999192,0.0,-0.025612502099669435,-0.00664475735922001,411.0,0.0,0.0,0.0,0.0,0.0,411.0,0.0,10.0,0.0,0.0,0.0
1.02,4.192199805594785,0.0,49.99924389339038,0.0,0.0007995202264014557,0.0,4.11,0.0,-0.0008175617153953489,0.0,0.003292618325148179,0.0,-0.02663134278744118,-0.007024112254028998,411.0,0.0,0.0,0.0,0.0,0.0,411.0,0.0,10.0,0.0,0.0,0.0
1.04,4.274399765225575,0.0,49.99916054132485,0.0,0.0008695558290904677,0.0,4.11,0.0,-0.000881575777704057,0.0,0.0035017801344505977,0.0,-0.027668752050525228,-0.007416256864697242,411.0,0.0,0.0,0.0,0.0,0.0,411.0,0.0,10.0,0.0,0.0,0.0
